Reference(s),Status,CANTITATE,Value,Footprint,Pret total,,
"C1, C6, C7, C9",,4,10u,C_1206_3220,?,,
"C2, C11",,2,100n,C_1206_3220,?,,
C3,,1,1n,C_1206_3220,?,,
"C4, C5",,2,1u,C_1206_3220,?,,
C8,,1,2.7n,C_1206_3220,?,,
"D1, D2, D4",,3,LED,LED_1206_3216,?,,
D3,,1,1N4004,D_1206_3216,?,,
J1,,1,Conn_01x04,Connector_PinHeader_2.00mm:PinHeader_1x04_P2.00mm_Vertical,-,,
J2,,1,Conn_01x02,Connector_PinHeader_2.00mm:PinHeader_1x02_P2.00mm_Vertical,-,,
J3,,1,Conn_01x02,Connector_PinHeader_2.00mm:PinHeader_1x02_P2.00mm_Vertical,-,,
J4,,1,USB_B_Micro,USB_Micro-B_Molex-105017-0001,-,,
K1,primit,1,G5Q-1,Relay_THT:Relay_SPDT_Omron-G5Q-1,-,,
MCP73830,primit x2,2,MCP73830,TDFN-6-1EP_2.5x2.5mm_P0.65mm_EP1.3x2mm,12 lei,,
Q1,comandat x2,2,IRLB8314,TO-220-3_Vertical,10 lei,,
Q2,,1,2N3904,TO-92_Inline,-,,
"R1, R2, R4, R5, R6, R10",,6,1k,R_1206_3220,?,,
R3,,1,100k,R_1206_3220,?,,
R7,,1,10k,R_1206_3220,?,,
R8,,1,2k,R_1206_3220,?,,
R9,,1,100,R_1206_3220,?,,
"R11, R12",,4,1,R_2512_6332,4 lei,,
TLV342AIDR1,comandat x2,2,~,SOIC-8,10 lei,,
U2,,1,AP1117-33,SOT-223-3,-,,
U3,,1,MSP430G2253IN20,DIP-20,12 lei,,
U4,comandat,1,FT232HL,LQFP-48,19 lei,,
U5,primit x2,2,MCP4251,DIP-14,13 lei,,
Y2,,1,Crystal -32.768KHZ,Crystal_AT310_D3.0mm_L10.0mm_Horizontal,-,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
